file,title,candidates,time_sec
1018-receipt.jpg,IN-N-OUT BURGER SANTA CLARA,IN-N-OUT BURGER SANTA CLARA | 2012-04-27 YOUR GUEST NUMBER IS L1T1 12:49PM | 2012-04-27 12:48PM | 17612621110,2.45
1019-receipt.jpg,Servers Trinity brottoPizzeria&Tavern Irenton4018-4300van om,Servers Trinity brottoPizzeria&Tavern Irenton4018 734692-4300 2441van om | Table:1 Order22037 Statlon:-2 Dine In | 1Ultra Guests2 | 1Bes Draft 1 Cheese Bread 2.50 5.00,1.73
1020-receipt.jpg,Newark Avenue Deccan Spice Jersey City Lacal,771 Newark Avenue Deccan Spice | Jersey City Lacal NJ 07306 | Server:Com Station:6 | Table:2 Order80110 Guests:6 Dine In | 2 rice 1 Da1 Fry 1 Paneer Butter Masala 10.99 12.99,4.07
1021-receipt.jpg,HAWWI ETHIOPIANRESTAU,"HAWWI ETHIOPIANRESTAU | ORDER:Table 2 | ALEXANDRIA,VA22314 | 1125QUEENST | 7037179740",3.07
1022-receipt.jpg,Moonstar Restaurant PA IDREPRINT,"Moonstar Restaurant | PA IDREPRINT 1 | Tab:3321P19.51 #2406 | 383 Gellert Blvd.Daly City,CA 94015 | 650992-2888",2.65
1023-receipt.jpg,Thai GUSTO,Thai | GUSTO | Thai Gusto Restaurant | Table4 | Server: PRACH Date:6/16/2017 12:36 PM T.1,3.21
1024-receipt.jpg,New Asia Buffet,New Asia Buffet | WeekEnd Dinner | San Fernando CA 91340 | Tb#D4 | Server :2,3.86
1025-receipt.jpg,LOS ANGELSC1 MeDona ldt,LOS ANGELSC153 | MeDona ldt3100 | Sidel Order 97 | 1 Db1 Qtr Chos 5.99 | TEL231730,4.02
1026-receipt.jpg,CHRIS'S HAMBURGERS CUDAHY,CHRIS'S HAMBURGERS | CUDAHY CA.90201 | 7701 ATLANTIC AVE. | DATE 07/22/2018 SUN | Ph(323)562-4125,2.22
1027-receipt.jpg,Longboards WAMU HA,"Longboards | WAMU,HAWA | 92-161 Waipahe Place Kapole1HT 96707 ctices.Tipping d. unless otherw | Check:24016 Table:44/0 Dine In Price R-E | Item",4.54
1028-receipt.jpg,DOUGLASBURGERS15asafngtonBlvd hitterCa11f c,DOUGLASBURGERS15 | 11325asafngtonBlvd hitterCa11f c0605 | Check 28018 | BURGERC80 9.99 | SAT 2/09/19 530p,2.05
1029-receipt.jpg,RINCON MEXICANO,"RINCON MEXICANO | ORDER:45 | 99BROADWAY | Cashier:LORENZO REYES | SOMERVILLE,MA02145",3.53
1030-receipt.jpg,VILLA D ESTE RESTAURANI florai park,VILLA D ESTE RESTAURANI florai parkNY 11001 185Jerlcho Tpke 516354-1355 | Station6 | Serverserry | Table:3 3.50 | Dine In Guests2,1.82
1031-receipt.jpg,Laurel Taverm Hermosa Beach Hermosa Beach,"Laurel Taverm Hermosa Beach | Hermosa Beach, CA 90254 | 1220Hermosa Beach | Tel. | Waiter 80 Sophie",3.34
1032-receipt.jpg,WINGSETHINGE,WINGSETHINGE | 1MAC&CHZ -SMALL 1.19 | 1717 DUTCHBRDYELMONTNY11003 | #168 OUT | THANKS CALL AGAIN 516-341-7075,3.33
1033-receipt.jpg,Renaissance Parkway Durham,8030 Renaissance Parkway DurhamNC27713 | Guests:2 | Server: ANASTASHIA 05/18/2019 12:25PM | Table57/1 80001 | 984329-2900,2.99
1034-receipt.jpg,laOSource,laOSource,1.22
1035-receipt.jpg,Coffee 1. ArgonautDiner2 We Deliver,1 Coffee $1.45 | ArgonautDiner2000 We Deliver | Please Pay at Cashier | 1084 Yonkers Avenue YonkersNY 10704 | Waffle $5.50,3.27
1036-receipt.jpg,SEAFOOD KITCHEN Pappadeaux Seafood Kitchen,"SEAFOOD KITCHEN | Pappadeaux Seafood Kitchen 030) | 1304 Copeland Rd,Ar1ington TX 76011 | 0035 Table 72 #Party3 | SARAH H SvrCk2121111/18/17",2.99
1037-receipt.jpg,Panda Express Everett,Panda Express | EverettWA | Store#1291 | FRIED RICE | ORANGE CKN,3.1
1038-receipt.jpg,Micros Demo System,Micros Demo System | 1502 North Kenda11 Drive | Card Type VISA | MmiFL33186 | Welcome to Yogurt ane,2.76
1039-receipt.jpg,FAIR OAKS,FAIR OAKS CA | 8105 MADTSON AVE | CARL'SJR1100675 | 12/19/20167:42:42PM | 916962-3415,2.22
1040-receipt.jpg,SUKHOTHAI SUSHI ASIAN FUSION SUKHOTHAI,SUKHOTHAI SUSHI+ASIAN FUSION | SUKHOTHAI | 17735SW147AVE UNiT36 MIAMIFL33196 | DDDED.00O2 | http//wwwsukhothaius.com,2.89
1041-receipt.jpg,laOSource,laOSource,1.19
1042-receipt.jpg,Guaca Chicharron 13. 2EMPANADA,1 Guaca Chicharron $13.95 | 2EMPANADA $3.00 | Phone 201840-8428 | Tab1e:23 Server:DANIELA | 1PARGO FRITO $19.95,3.02
1043-receipt.jpg,SOUL FOOD&CATERINGB VONKERS,"SOUL FOOD&CATERING 1131B VONKERS AVE YONKERS,NY704 914-237-5083 | Adnin | ORDER #1019 | TNCS(5 12,50 | June 23,2019 at 2:33 PM",2.51
1044-receipt.jpg,CHURCH'S HCKEN,CHURCH'S HCKEN4747 | 7635NTETKA,1.03
1045-receipt.jpg,YUM'S RESTAURANT Bowa aurel c s,YUM'S RESTAURANT Bowa aurel c/s 3002 | Serve Yurns Steax CneseggRois 2 Wingsw Frnwhnes 449 720 | 6/2412018 19 Walk in 347,1.74
1046-receipt.jpg,Araxi Burger AventuraBISCAY,"Araxi Burger Aventura | 17861BISCAYNE BLVD | Aventura,FL 33160 | Check #33 Server: Valerie P 03/17/19 5:39PM Table 12 | Classic Burger 4nz 2 Vanil1a Bean $12.00",2.75
1047-receipt.jpg,Cambridge,Cambridge.MA 02139-3308 730tavern.cam 730 Mass Ave 617-868-8800 09/23/2017 J62 45757 | 9:40PM | Megan 30062,2.44
1048-receipt.jpg,DAILY GRILI EXCELLENCE SERVEDDAILY,"DAILY GRILI | EXCELLENCE SERVEDDAILY | Daily Gril | Santa Monica,CA 90404 | Guests:2",2.55
1049-receipt.jpg,KICKIN KAJUN KAPOLEI Ka Makana A1i'i,"KICKIN KAJUN KAPOLEI | Ka Makana A1i'i | 91-5431 Kapolei Parkway,Suite 426 | Server: Chenay B | Table: Table 2",2.61
1050-receipt.jpg,AM Dining Rm,AM Dining Rm | overs:2 Person#1 | heck:332114 Table:42,2.49
1051-receipt.jpg,TAVERN HACKENSACK,TAVERN | HACKENSACKNJ 07601 | GENERALPOORS | 45 MAIN STREET | HFAONTOLIL,2.75
1052-receipt.jpg,Jericho Turnpike Flora Park,255-41 Jericho Turnpike | Flora Park NY 11001 | Check1075 Guests:2 | 106Tom | Te718.343-4616,1.95
1053-receipt.jpg,Primo Family Restaurant,Primo Family Restaurant 5/3/198:14 | 0.Tabe10 Check37,1.36
1054-receipt.jpg,,Ticket:Shirley Cash | BIG JO'S | Regular Price | SANTA MONICA CA 90404 11:47AM | PICKUP,3.1
1055-receipt.jpg,WINGS&THINGS,WINGS&THINGS | pc #195 IN | SUB CORNBREAD | Op 1#7 2PC R&B MEAL 5.99 | 0p ICED TEA,3.13
1056-receipt.jpg,BETHANY BEACHDE GARFIELD PARKWAY WWW.ZOCA.RESTAURANT,BETHANY BEACHDE 19930 98 GARFIELD PARKWAY WWW.ZOCA.RESTAURANT ZOCA RESTAURANT 302616-2120 | Server: Madi B Guests:5 | 1 Flying Dog Numero Uno BTL 12.00 8.00 | Table:31/2 | 2 Sandia Margarita (013.00/ea) 1 House Recipe 26.00 1100,3.41
1057-receipt.jpg,CAFE PARISIEN LARCHMONT LLC LOSANGELES,CAFE PARISIEN LARCHMONT LLC | LOSANGELESCA 90004 | Server.Kimberly L Jan 24.2019 | 242N LARCHMONTBLVD | Dine in,2.23
1058-receipt.jpg,Calderc BREWEF RESTAURAN,"Calderc BREWEF | RESTAURAN & | Ashland, OR | 641482HOPS | 590 Clover Lane ASHLAND OREGO",2.77
1059-receipt.jpg,LANDFALLRESTAURANT APRIL TO DECEMBER,LANDFALLRESTAURANT | APRIL TO DECEMBER | Separate checks: 6-of-6 | 0084Table 31#Party3 | DWYERM SvrCk:13 11:47a 06/10/17,2.12
1060-receipt.jpg,,Guests:2 | 1660 India Street | PKLI Green Curry Sca1lops G1 Douglass Green SB G1 Karma Cab Sauy 12.00 27.95 11.00 75 | Server:Jake 12/17/2017 6:29PM | Table 24/1 20018,3.1
1061-receipt.jpg,s Gr1 & Bar ente Hi1s,s Gr1 & Bar | ente Hi1s #26 | 09/15/2018 125PM | 38 Cast leton St | IndustryCA 91748,1.62
1062-receipt.jpg,RESTAURANT MARIANACCI-S,RESTAURANT MARIANACCI-S | TABLE 403 CHECK 39 | aes 9,1.73
1063-receipt.jpg,Family Restaurant Pri,Family Restaurant | Primo | 0.b0.k137 | $22.50 | 5/3/198:14,1.15
1064-receipt.jpg,IN-N-OUT BURGER,013-08-10 IN-N-OUT BURGER ESCONDIDO 2472480215 3:02PM | 2013-08-10 YOUR GUEST NUMBER IS L1T2 3:04PM | Cachier: ADAM EL | Check25,3.05
1065-receipt.jpg,Taco Maria Costa Mesa,Taco Maria | Costa MesaCA 92626 | Table:Bar 7 | Chicken $15.00 | Server: Jesa R,2.68
1066-receipt.jpg,BELLAGIO CO RISTORANTE,BELLAGIO CO | RISTORANTE | SALA UNICA TAV. 9 COPERTI 4 | 2 ACQUA NAT 8.00 | TELEF0N0 031/951888,2.95
1067-receipt.jpg,Anjappar Cnettinad Artes,"Anjappar Cnettinad Artesia | Anjappar - Artesia | Artesia,Ca 90701 | 18128 Pioneer B1vd | Dine In Table #C16",3.01
1068-receipt.jpg,Cafe Euge,Cafe Eugene | 1175 Solano Avenue | euoene | abe:Table10 | AJbany CA 94705,1.77
1069-receipt.jpg,Rueroully CAMY RODTADRANT,Rueroully | CAMY RODTADRANT | River Village Famiy Restaurant,2.3
1070-receipt.jpg,Servers Jose Station Ribeye Ste,Servers Jose Station:8 | 1 Ribeye Steak Lunch 10 10.00 | Table:1 Dine In Guests:1 | >med-rare | Montebe1loCA 90640,3.15
1071-receipt.jpg,Trinity Restaurant,Trinity Restaurant | 190 Jericho Tpke | Table 15 Cust.2 Server 21 Kel1y Bowe | Flora1 Park NY 11001 | 02/18/17 10:20 PM Check 101244,3.15
1072-receipt.jpg,OHANA HAWAIIAN BBQ,OHANA HAWAIIAN BBQ | Server:karla Station:3 | Order #65193 Dine In | 1 1/2 AND 1/2 COMBO >SETTLED< 8.45 | 4469 SLAUSON AVE,4.49
1073-receipt.jpg,S Far Oa,625S Far Oaks Ave | Qty Size Itea Pricaa | Tera 1D-Trans1/A-297424 | Sy449690Fhone 626-565-9999 | PasanenaCA91105,3.11
1074-receipt.jpg,Lin Buffet,Lin Buffet | Server: Kenya Judith #Guest:1 | 2988 N. Expressway | Brownsvi1le.TX | Fhone956)544-6600,4.05
1075-receipt.jpg,SmokeBoxBBQ,SmokeBoxBBQ | 1 FXN DIET BIRCH 1.50 | 2361 Whitney Ave | HamdenCT 06518 | 5/22/2014 2:00:48PM CASHIER ORDER#39 # GUESTS 1 1,4.19
1076-receipt.jpg,,no text detected,1.57
1077-receipt.jpg,,ORDER:SECOND FLOOR 19 | NAANCHING | Thai Fried Rice $12.00 | 1Chicken Lollipop $9.00 | 103MONTGOMERRYST,3.72
1078-receipt.jpg,Elegant Vietnamese Cuisine Tay Hb Oaka,Elegant Vietnamese Cuisine | Tay Hb Oakand | Follow us on Instagram & Facebook | Please help us going Green & Save our | Please ask for Credit Card Receipt resources!,3.06
1079-receipt.jpg,URAW BAR Falmeutn FALMOUTH RAW B,"URAW BAR Falmeutn | FALMOUTH RAW BAR | Falmouth,MA 02540 | 56 Scranton Ave. | Check.5738/1 07/02/18-4 6:28pm",2.69
1080-receipt.jpg,,35201 Newark B1vd.#W Newark CA 94560 http://www.newarkbuffet.com Newark Buffet 510-818-1136 | Date Table Guests Server 0741060 | SOIIP/SAL-ENTREE-VEG POT-DESSERT-BEV | 05.25PM | Server:Tim-11,3.69
1081-receipt.jpg,BRASAS RESTAURANT,BRASAS RESTAURANT | 1 Chicken Torta $6.50 | 6011WROOSEVELT RD | Cashier.Tany | ICERO60804,3.15
1082-receipt.jpg,SURATI FARSAN MART,SURATI FARSAN MART | 16 Daksh D | ARTESIA CA 90701 | Chk 45 Gst0 | 11814 186TH STREET,2.64
1083-receipt.jpg,King Taco RESTAURANTS I,"King Taco # 30 | RESTAURANTS,INC | 1SOPE ASADA 3.10 | CON TODO | 1 TACO ASADA COPA S.ROJA 1.59",4.09
1084-receipt.jpg,Trattoria Saporito,Trattoria Saporito | TABLE#4 | STATION:01 | CHECK#27273 | 328 WashingtonStreet,3.59
1085-receipt.jpg,Pita Pita -Lombard,Pita Pita -Lombard | Ord #78 | 211 E Roosevelt Ro | Phone: | To Go,3.13
1086-receipt.jpg,Garden City,"Garden City, NY 11530 | Calagero's | Calogero's | 919 Franklin Ave | 4/20/20188:29PM Trans Table 137017 Serv:Manager 2 #2 #Cust:4",4.22
1087-receipt.jpg,oches De Colosbia 24JERICHO TURKPIKE,oches De Colosbia | 24JERICHO TURKPIKE | HINEOAN1501 | 51674796,1.31
1088-receipt.jpg,Quan Descript Cost MOoYAH American Cheese MOOYAH Burger,Quan Descript Cost | 1 MOoYAH American Cheese 1 MOOYAH Burger $0.70 | 1 Little M00 Shake $4.99 | 6121  Cache Rd | Latan.OK 73505,4.19
1089-receipt.jpg,Complete Subtotal,Complete Subtotal 137.50 | Subtotal 137.50,2.24
1090-receipt.jpg,FIVE GUYS,FIVE GUYS | 2640 Reyno1ds.Ranch Pky-Ste140 | 47-FIVE GUYS | Employce:Robert C | STORE #CA-1661,4.62
1091-receipt.jpg,CITYTASTE,CITYTASTE | SILVER SPRINGMD20910 930 WAYNEAVE.#100 TEL301-585-1111 | Server:BOSS | TAB#:A06 | Date:05-11-2018Time8:03PM Dine In #90,3.3
1092-receipt.jpg,Ginger Ale,Ginger Ale 200 | Lady Gaga 13.95 | Fried Cheese Cake 4.95 | Subtotal: 39.85 | Tax. 3.45,2.09
1093-receipt.jpg,,0:49:532018,1.67
1094-receipt.jpg,POKEATERY,POKEATERY | Pokeatery CV,2.59
1095-receipt.jpg,Golden Co,Golden Coin | 94-450 Ukee St | SarverCharito Station:1 | WaipahuHI 96797 | 808848-0802,3.12
1096-receipt.jpg,OE,OE 223 N.Citrus Ave | Server:Ryan | Table:BAR9 | CovinaCA 91723 | Check:208774,3.7
1097-receipt.jpg,Drive Thru Burrito Cmb,Drive Thru | 1 Burrito Cmb 8.28 | 257 LIDIA H | Chk Ranchero Bur | ADD,3.23
1098-receipt.jpg,Nick's Tuscan Gril Mineola,Nick's Tuscan Gril Mineola NY 11501 149 Mineo1a B7vd | 907 Victor V | Minimum Credit/Debit Payment $20 www.nickstuscangri11.com | Tb112/1 Gst 2 | Mar18'18 10:54AM,3.35
1100-receipt.jpg,DUPLICATE BILA,***DUPLICATE | *BILA ** | Hc Dona lds | 16725 Stony Plain Rd Stony ERSE TUE | Store3859 Te#780-414-8362 Edmonton A8 T5P4A9,3.44
indtest.jpg,EMPIES XE,EMPIES | XEMO | SHOP,1.68
